Index_Label,Outlet Name,Outlet Address
0,"Batu Berendam, Melaka","No 42, Ground Floor, Jalan Mutiara Melaka 2, Taman Mutiara Melaka, Batu Berendam, 75350 Hang Tuah Jaya, Melaka"
1,Jenjarom,"No. 37 (Ground Floor), Jalan 2/1, Taman Seri Jaromas, 42600 Jenjarom"
2,Suasana PjH Presint 2,"Unit A-G-R10 & A-G-R11, Block A, Suasana PjH, Jalan Tun Abdul Razak, Presint 2, 62100 Putrajaya"
3,Eastern Mall Siburan,"Lot 1964C – Block C, Eastern Mall Siburan, 9C72+CW, 94200 Siburan, Sarawak."
4,Plaza Low yat,"Plaza Low Yat, Lot LG-04 & 05, Lower Ground Floor, 7, Jalan Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
5,Guar Chempedak,"No 9, Kompleks Perniagaan Guar Utama, 08800 Guar Chempedak"
6,"Selera Putra, Souq Putrajaya","Lot G-005, Selera Putra, Souq Putrajaya, Presint 1, 62000 Putrajaya"
7,Plaza Shah Alam,"S19, Second Floor, Jalan Tengku Ampuan Zabedah E 9/E, Seksyen 9, 40100 Shah Alam, Selangor"
8,"Vista Bangi, Jalan Reko","1-06 (Ground Floor) Vista Bangi, Jalan Reko, 43000 Kajang, Selangor."
9,Kipmall Bangi,"1K-03A, Level 1, No. 1 Jalan Medan Bangi Business Park Bangi Golf Resort) Off, Persiaran Kemajuan, Seksyen 6, 43650 Bandar Baru Bangi, Selangor"
10,Universiti Malaya Centre for Continuing Education,"VIP Dining, Cyberview 23, Jalan Teknokrat 3, Cyber 4, 63000 Cyberjaya, Selangor"
11,Holiday Inn Express Hotel Jalan Raja Chulan,"Lot G01, Ground Floor, 84, Jalan Raja Chulan, Kuala Lumpur, 50200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur"
12,"Klebang, Melaka","40, Ground Floor, Jalan Nirwana 2, Taman Nirwana, Batang Tiga, 76400, Melaka"
13,PKT Logistic Batu Kawan,"No 1, Logistic Boulevard, One Auto Hub, Batu Kawan Industrial Park, 14110 Bandar Cassia, Penang."
14,Pekan Ayer Tawar,"No.35 (GF), Jalan Besar, 32400, Ayer Tawar, Perak."
15,"Kampung Laut, Kuala Terengganu","PT 3632 Tingkat Bawah, Jalan Alam Mutiara 1/1, Alam Mutiara, Jalan Kg Laut, 21100 Kuala Terengganu Terengganu."
16,"Bukit Rambai, Melaka","No 47, Jalan Rambai Jaya 29, Taman Rambai Jaya 75260 Melaka"
17,MSU Medical Centre,"Lot A01 (Ground Floor), MSU Medical Centre, University Drive, Off Persiaran Olahraga, Seksyen 13, 40100 Shah Alam, Selangor."
18,Plaza Merdeka Kuching,"No. G-01, Ground Floor, Plaza Merdeka Shopping Centre, 88 Pearl Street, 93000 Kuching, Sarawak, Malaysia"
19,Bandar Mentakab,"No.131 (Ground Floor) Jalan Melati 28400 Mentakab, Pahang."
20,"Tree Square, Tanjung Bungah","No. 88-G-A05, Jalan Sungai Kelian, 11200 Tanjong Bungah, Penang"
21,"Pusat Niaga Paka, Terengganu","49-G, PT 228, Jalan Besar, Pusat Niaga Paka, Kampung Cacar, 23100 Paka, Terengganu."
22,Alor Gajah,"KM 12-1 (Ground Floor), Jalan Perniagaan Jelatang 1, Pusat Perniagaan Jelatang, 78000 Alor Gajah, Melaka"
23,Muadzam Shah,"No. 25-G, Jalan Pms 3 1/1, Taman Perindustrian Muadzam Shah 3, 26700 Muadzam Shah, Pahang Darul Makmur."
24,Angsana Johor Bahru,"Lot 1.22, First Floor, Angsana Johor Bahru Mall, Skudai Lbh, Pusat Bandar Tampoi, 81200 Johor Bahru, Johor"
25,Bandar Teknologi Kajang,"No. G-8 (Ground Floor), Jalan 1/2, HILLPARK RESIDENCE, Seksyen 1 Bandar Teknologi Kajang, 43500 Semenyih, Selangor"
26,Menara VSQ Petaling Jaya,"B03, Ground Floor, VSQ@PJ City Centre, Jalan Utara, 46200 Petaling Jaya, Selangor"
27,Aeropod Commercial Square,"No. B-1-3 (Ground Floor), Aeropod Commercial Square, Jalan Aeropod, Off Jalan Kepayan, Sabah"
28,Damansara Damai,"L-013 (Ground Floor), Vista Shop, Jalan PJU 10/2A, Damansara Damai,47830 Petaling Jaya, Selangor"
29,Tangkak Johor,"No. 131 (Ground Floor), Jalan Muar, 84900 Tangkak Johor"
30,SkyAvenue,"Lot No.T2A-39A & 40 of Level T2A, SkyAvenue, Genting Highlands Resort, 69000 Genting Highlands, Pahang"
31,"Taman Jerai Maju, Gurun","No.14 (GF), Jalan Jerai Maju 2, Taman Jerai Maju 08300 Gurun, Kedah."
32,"Simpang Empat Perdana, Kedah","B-1(Ground Floor), Susuran Lada 1, Simpang 4, Taman Simpang Perdana, 06650 Alor Setar, Kedah."
33,AEON Mall Cheras Selatan,"KF3 & KF5, First Floor, Aeon Mall Cheras, Selatan, Jalan Cheras Perdana Cheras, 43200, Balakong, Selangor"
34,Bandar Tasek Raja,"Lot 579 (GF) Bandar Tasek Raja 17000 Pasir Mas,Kelantan."
35,"Setia Prima, Setia Alam","8-1-2 (Ground Floor), Jalan Setia Prima P U13/P, Setia Alam, 40170 Shah Alam, Selangor"
36,"SHELL Hutan Kampung, Alor Setar","HSM 20792, PT 9103, HUTAN KAMPUNG, BANDAR ALOR SETAR, 05150 KOTA SETAR, KEDAH"
37,Paya Bunga Square,"PK-02, Aras Bawah, Kompleks Paya Bunga Square, Jalan Masjid Abidin, 20100 Kuala Terengganu"
38,Bandar Tanah Merah,"Pt 461-G Jalan Tasek 17500 Tanah Merah, Kelantan."
39,Canning II Ipoh,"No. 29 (GF), Hala Pusat Perdagangan Canning 1, Pusat Perdagangan Canning II, 30350 Ipoh, Perak."
40,Sutera Mall,"L2-550k, Sutera Mall, Jalan Sutera Tanjung 8/4, 81300 Skudai, Johor"
41,The Glenz @Glenmarie,"G-3B (Ground Floor), Subplace Boulevard Pusat Kormersil Vestland, No.6, Jalan Juruanalisis U1/35, Seksyen U1, 40150 Shah Alam, Selangor Darul Ehsan"
42,Puchong Utama,"A-G-9 (Ground Floor), Block A, Dataran Puchong, Jalan PU 7/1, Taman Puchong Utama, 47140 Puchong, Selangor"
43,PD Waterfront,"Kedai 2 (Glass House), PD Waterfront, 1-02-1, Persiaran Waterfront, 1st Mile, 71000 Port Dickson, Negeri Sembilan"
44,Taman Lumut Indah 2,"No. 10 (Ground Floor), Jalan Lumut Indah 2/1, Taman Lumut Indah 2, 32200 Lumut, Perak."
45,Benoni Commercial Centre,"Lot 90, Ground Floor, Benoni Commercial Centre, Jalan Papar Spur, 89600 Papar Sabah"
46,Sunway Pyramid,"Lot LG2.37, Level LG2, Sunway Pyramid, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor"
47,CALTEX Simpang Gambang,"Lot 10759, Batu 18, Jalan Gambang, 26300 Kuantan, Pahang"
48,"The Northbank, Kuching","Ground Floor, PL 18 / SL 4082, Lot 3146, Block 12, Muara Tebas Land District"
49,Setapak Central Mall,"GK-08, Ground Floor, 67, Jln Taman Ibu Kota, Taman Danau Kota, 53300 Kuala Lumpur, Wilayah Persekutuan"
50,City Mall Kota Kinabalu,"M-0-77 (S05), Ground Floor, Jln Lintas, 88300 Kota Kinabalu, Sabah"
51,Kepala Batas Pokok Sena,"No. 45, (Ground Floor), Persiaran Pokok Sena, Pusat Perniagaan Pokok Sena, 13220 Kepala Batas, Pulau Pinang"
52,The Exchange TRX,"Lot C.98.0, The Exchange TRX, Persiaran TRX, Tun Razak Exchange, 55188 Kuala Lumpur, Wilayah Persekutuan"
53,Mesamall Nilai,"Persiaran Ilmu, Bandar Baru Nilai, 71800 Nilai, Negeri Sembilan"
54,Taman Sri Manja,"No.25, Jalan PJS 3/46, Taman Sri Manja, 46000 Petaling Jaya"
55,Eco Grandeur,"No 18-G (Ground Floor), Jalan Eco Grandeur 1/9A, Eco Granduer, 42300, Bandar Puncak Alam, Selangor"
56,Jaya Shopping Centre,"Lot G-01, Jaya Shopping Centre, Jalan 14/17, Seksyen 14, 46100 Petaling Jaya, Selangor"
57,Eco Majestic Semenyih,"Lot 47-1, Jalan Eco Majestic 10/1A, 43500 Semenyih, Selangor."
58,"Gateway@KLIA2 (Departure Hall, Level 3)","Lot L3-44A, Level 3, gateway@KLIA2, Lbh KLIA, 43900 KLIA, Selangor"
59,Taman Chai Leng,"No 48, Ground Floor, Lebuh Kurau 3, Taman Chai Leng, 13700 Perai, Pulau Pinang"
